"","id","title","companies"
"1",19995,"Avatar","Ingenious Film Partners"
"2",19995,"Avatar","Twentieth Century Fox Film Corporation"
"3",19995,"Avatar","Dune Entertainment"
"4",19995,"Avatar","Lightstorm Entertainment"
"5",285,"Pirates of the Caribbean: At World's End","Walt Disney Pictures"
"6",285,"Pirates of the Caribbean: At World's End","Jerry Bruckheimer Films"
"7",285,"Pirates of the Caribbean: At World's End","Second Mate Productions"
"8",206647,"Spectre","Columbia Pictures"
"9",206647,"Spectre","Danjaq"
"10",206647,"Spectre","B24"
"11",49026,"The Dark Knight Rises","Legendary Pictures"
"12",49026,"The Dark Knight Rises","Warner Bros."
"13",49026,"The Dark Knight Rises","DC Entertainment"
"14",49026,"The Dark Knight Rises","Syncopy"
"15",49529,"John Carter","Walt Disney Pictures"
"16",559,"Spider-Man 3","Columbia Pictures"
"17",559,"Spider-Man 3","Laura Ziskin Productions"
"18",559,"Spider-Man 3","Marvel Enterprises"
"19",38757,"Tangled","Walt Disney Pictures"
"20",38757,"Tangled","Walt Disney Animation Studios"
"21",99861,"Avengers: Age of Ultron","Marvel Studios"
"22",99861,"Avengers: Age of Ultron","Prime Focus"
"23",99861,"Avengers: Age of Ultron","Revolution Sun Studios"
"24",767,"Harry Potter and the Half-Blood Prince","Warner Bros."
"25",767,"Harry Potter and the Half-Blood Prince","Heyday Films"
"26",209112,"Batman v Superman: Dawn of Justice","DC Comics"
"27",209112,"Batman v Superman: Dawn of Justice","Atlas Entertainment"
"28",209112,"Batman v Superman: Dawn of Justice","Warner Bros."
"29",209112,"Batman v Superman: Dawn of Justice","DC Entertainment"
"30",209112,"Batman v Superman: Dawn of Justice","Cruel & Unusual Films"
"31",209112,"Batman v Superman: Dawn of Justice","RatPac-Dune Entertainment"
"32",1452,"Superman Returns","DC Comics"
"33",1452,"Superman Returns","Legendary Pictures"
"34",1452,"Superman Returns","Warner Bros."
"35",1452,"Superman Returns","Bad Hat Harry Productions"
"36",10764,"Quantum of Solace","Eon Productions"
"37",58,"Pirates of the Caribbean: Dead Man's Chest","Walt Disney Pictures"
"38",58,"Pirates of the Caribbean: Dead Man's Chest","Jerry Bruckheimer Films"
"39",58,"Pirates of the Caribbean: Dead Man's Chest","Second Mate Productions"
"40",57201,"The Lone Ranger","Walt Disney Pictures"
"41",57201,"The Lone Ranger","Jerry Bruckheimer Films"
"42",57201,"The Lone Ranger","Infinitum Nihil"
"43",57201,"The Lone Ranger","Silver Bullet Productions (II)"
"44",57201,"The Lone Ranger","Blind Wink Productions"
"45",57201,"The Lone Ranger","Classic Media"
"46",49521,"Man of Steel","Legendary Pictures"
"47",49521,"Man of Steel","Warner Bros."
"48",49521,"Man of Steel","DC Entertainment"
"49",49521,"Man of Steel","Syncopy"
"50",49521,"Man of Steel","Cruel and Unusual Films"
"51",2454,"The Chronicles of Narnia: Prince Caspian","Walt Disney"
"52",2454,"The Chronicles of Narnia: Prince Caspian","Walden Media"
"53",2454,"The Chronicles of Narnia: Prince Caspian","Stillking Films"
"54",2454,"The Chronicles of Narnia: Prince Caspian","Ozumi Films"
"55",2454,"The Chronicles of Narnia: Prince Caspian","Propeler"
"56",2454,"The Chronicles of Narnia: Prince Caspian","Silverbell Films"
"57",2454,"The Chronicles of Narnia: Prince Caspian","Revolution Sun Studios"
"58",24428,"The Avengers","Paramount Pictures"
"59",24428,"The Avengers","Marvel Studios"
"60",1865,"Pirates of the Caribbean: On Stranger Tides","Walt Disney Pictures"
"61",1865,"Pirates of the Caribbean: On Stranger Tides","Jerry Bruckheimer Films"
"62",1865,"Pirates of the Caribbean: On Stranger Tides","Moving Picture Company (MPC)"
"63",41154,"Men in Black 3","Amblin Entertainment"
"64",41154,"Men in Black 3","Media Magik Entertainment"
"65",41154,"Men in Black 3","Imagenation Abu Dhabi FZ"
"66",41154,"Men in Black 3","Hemisphere Media Capital"
"67",41154,"Men in Black 3","Parkes/MacDonald Productions"
"68",122917,"The Hobbit: The Battle of the Five Armies","WingNut Films"
"69",122917,"The Hobbit: The Battle of the Five Armies","New Line Cinema"
"70",122917,"The Hobbit: The Battle of the Five Armies","Warner Bros. Pictures"
"71",122917,"The Hobbit: The Battle of the Five Armies","3Foot7"
"72",122917,"The Hobbit: The Battle of the Five Armies","Metro-Goldwyn-Mayer (MGM)"
"73",1930,"The Amazing Spider-Man","Columbia Pictures"
"74",1930,"The Amazing Spider-Man","Laura Ziskin Productions"
"75",1930,"The Amazing Spider-Man","Marvel Entertainment"
"76",20662,"Robin Hood","Imagine Entertainment"
"77",20662,"Robin Hood","Universal Pictures"
"78",20662,"Robin Hood","Scott Free Productions"
"79",20662,"Robin Hood","Relativity Media"
"80",57158,"The Hobbit: The Desolation of Smaug","WingNut Films"
"81",57158,"The Hobbit: The Desolation of Smaug","New Line Cinema"
"82",57158,"The Hobbit: The Desolation of Smaug","Warner Bros. Pictures"
"83",57158,"The Hobbit: The Desolation of Smaug","Metro-Goldwyn-Mayer (MGM)"
"84",2268,"The Golden Compass","New Line Cinema"
"85",2268,"The Golden Compass","Ingenious Film Partners"
"86",2268,"The Golden Compass","Depth of Field"
"87",2268,"The Golden Compass","Scholastic Productions"
"88",254,"King Kong","WingNut Films"
"89",254,"King Kong","Universal Pictures"
"90",254,"King Kong","Big Primate Pictures"
"91",254,"King Kong","MFPV Film"
"92",597,"Titanic","Paramount Pictures"
"93",597,"Titanic","Twentieth Century Fox Film Corporation"
"94",597,"Titanic","Lightstorm Entertainment"
"95",271110,"Captain America: Civil War","Studio Babelsberg"
"96",271110,"Captain America: Civil War","Marvel Studios"
"97",271110,"Captain America: Civil War","Walt Disney Studios Motion Pictures"
"98",271110,"Captain America: Civil War","Vita-Ray Dutch Productions (III)"
"99",271110,"Captain America: Civil War","Deluxe Digital Studios"
"100",44833,"Battleship","Universal Pictures"
"101",44833,"Battleship","Hasbro"
"102",44833,"Battleship","Bluegrass Films"
"103",44833,"Battleship","Film 44"
"104",135397,"Jurassic World","Universal Studios"
"105",135397,"Jurassic World","Amblin Entertainment"
