"","genre1","genre2","title"
"1","Action","Adventure","2012"
"2","Action","Science Fiction","2012"
"3","Adventure","Science Fiction","2012"
"4","Drama","Action","47 Ronin"
"5","Drama","Adventure","47 Ronin"
"6","Drama","Fantasy","47 Ronin"
"7","Action","Adventure","47 Ronin"
"8","Action","Fantasy","47 Ronin"
"9","Adventure","Fantasy","47 Ronin"
"10","Animation","Drama","A Christmas Carol"
"11","Family","Fantasy","Alice in Wonderland"
"12","Family","Adventure","Alice in Wonderland"
"13","Fantasy","Adventure","Alice in Wonderland"
"14","Action","Adventure","Avatar"
"15","Action","Fantasy","Avatar"
"16","Action","Science Fiction","Avatar"
"17","Adventure","Fantasy","Avatar"
"18","Adventure","Science Fiction","Avatar"
"19","Fantasy","Science Fiction","Avatar"
"20","Action","Adventure","Avengers: Age of Ultron"
"21","Action","Science Fiction","Avengers: Age of Ultron"
"22","Adventure","Science Fiction","Avengers: Age of Ultron"
"23","Action","Adventure","Batman v Superman: Dawn of Justice"
"24","Action","Fantasy","Batman v Superman: Dawn of Justice"
"25","Adventure","Fantasy","Batman v Superman: Dawn of Justice"
"26","Thriller","Action","Battleship"
"27","Thriller","Adventure","Battleship"
"28","Thriller","Science Fiction","Battleship"
"29","Action","Adventure","Battleship"
"30","Action","Science Fiction","Battleship"
"31","Adventure","Science Fiction","Battleship"
"32","Adventure","Family","Big Hero 6"
"33","Adventure","Animation","Big Hero 6"
"34","Adventure","Action","Big Hero 6"
"35","Adventure","Comedy","Big Hero 6"
"36","Family","Animation","Big Hero 6"
"37","Family","Action","Big Hero 6"
"38","Family","Comedy","Big Hero 6"
"39","Animation","Action","Big Hero 6"
"40","Animation","Comedy","Big Hero 6"
"41","Action","Comedy","Big Hero 6"
"42","Animation","Adventure","Brave"
"43","Animation","Comedy","Brave"
"44","Animation","Family","Brave"
"45","Animation","Action","Brave"
"46","Animation","Fantasy","Brave"
"47","Adventure","Comedy","Brave"
"48","Adventure","Family","Brave"
"49","Adventure","Action","Brave"
"50","Adventure","Fantasy","Brave"
"51","Comedy","Family","Brave"
"52","Comedy","Action","Brave"
"53","Comedy","Fantasy","Brave"
"54","Family","Action","Brave"
"55","Family","Fantasy","Brave"
"56","Action","Fantasy","Brave"
"57","Adventure","Action","Captain America: Civil War"
"58","Adventure","Science Fiction","Captain America: Civil War"
"59","Action","Science Fiction","Captain America: Civil War"
"60","Action","Adventure","Captain America: The Winter Soldier"
"61","Action","Science Fiction","Captain America: The Winter Soldier"
"62","Adventure","Science Fiction","Captain America: The Winter Soldier"
"63","Animation","Family","Cars 2"
"64","Animation","Adventure","Cars 2"
"65","Animation","Comedy","Cars 2"
"66","Family","Adventure","Cars 2"
"67","Family","Comedy","Cars 2"
"68","Adventure","Comedy","Cars 2"
"69","Science Fiction","Action","Dawn of the Planet of the Apes"
"70","Science Fiction","Drama","Dawn of the Planet of the Apes"
"71","Science Fiction","Thriller","Dawn of the Planet of the Apes"
"72","Action","Drama","Dawn of the Planet of the Apes"
"73","Action","Thriller","Dawn of the Planet of the Apes"
"74","Drama","Thriller","Dawn of the Planet of the Apes"
"75","Action","Science Fiction","Edge of Tomorrow"
"76","Fantasy","Comedy","Evan Almighty"
"77","Fantasy","Family","Evan Almighty"
"78","Comedy","Family","Evan Almighty"
"79","Adventure","Action","G.I. Joe: The Rise of Cobra"
"80","Adventure","Thriller","G.I. Joe: The Rise of Cobra"
"81","Adventure","Science Fiction","G.I. Joe: The Rise of Cobra"
"82","Action","Thriller","G.I. Joe: The Rise of Cobra"
"83","Action","Science Fiction","G.I. Joe: The Rise of Cobra"
"84","Thriller","Science Fiction","G.I. Joe: The Rise of Cobra"
"85","Adventure","Action","Green Lantern"
"86","Adventure","Thriller","Green Lantern"
"87","Adventure","Science Fiction","Green Lantern"
"88","Action","Thriller","Green Lantern"
"89","Action","Science Fiction","Green Lantern"
